Region;Physics 2019;Physics 2020
135.4719101123595506;Вінницька область;2019
136.8584392014519056;Вінницька область;2020
140.0631364562118126;Волинська область;2019
141.0707964601769912;Волинська область;2020
134.0043731778425656;Дніпропетровська область;2019
134.9133409350057013;Дніпропетровська область;2020
132.1387614678899083;Донецька область;2019
134.5475956820412169;Донецька область;2020
130.9750415973377704;Житомирська область;2019
133.2210743801652893;Житомирська область;2020
130.2088235294117647;Закарпатська область;2019
133.5714285714285714;Закарпатська область;2020
133.8082191780821918;Запорізька область;2019
131.5561497326203209;Запорізька область;2020
139.3519553072625698;Івано-Франківська область;2019
139.8339100346020761;Івано-Франківська область;2020
134.9744186046511628;Київська область;2019
135.8627450980392157;Київська область;2020
133.8969696969696970;Кіровоградська область;2019
140.9645390070921986;Кіровоградська область;2020
130.2222222222222222;Луганська область;2019
134.9329073482428115;Луганська область;2020
139.7006920415224913;Львівська область;2019
141.4534510433386838;Львівська область;2020
145.2864038616251006;м.Київ;2019
148.0063846767757382;м.Київ;2020
131.8778409090909091;Миколаївська область;2019
135.1093023255813953;Миколаївська область;2020
129.4792299898682877;Одеська область;2019
133.0864197530864198;Одеська область;2020
134.8971962616822430;Полтавська область;2019
134.7085714285714286;Полтавська область;2020
135.5162287480680062;Рівненська область;2019
140.4389574759945130;Рівненська область;2020
135.6968838526912181;Тернопільська область;2019
137.3580246913580247;Тернопільська область;2020
143.2222222222222222;Харківська область;2019
150.1167512690355330;Харківська область;2020
136.2788259958071279;Херсонська область;2019
140.7472324723247232;Херсонська область;2020
125.3206106870229008;Хмельницька область;2019
140.5178571428571429;Хмельницька область;2020
137.3380952380952381;Черкаська область;2019
138.3101391650099404;Черкаська область;2020
132.7566371681415929;Чернівецька область;2019
138.2528301886792453;Чернівецька область;2020
138.5600961538461538;Чернігівська область;2019
140.3557692307692308;Чернігівська область;2020
